user_id,item_id
52,3358 2210 293 2342 169 1067 2350 1711 2617 2646
53,1030 1928 10 1548 146 28 928 295 43 2745
54,1030 1551 146 2076 3371 3501 3013 3272 3529 457
55,640 1551 146 1303 928 2210 2342 2603 3501 2862
56,640 1030 12 1039 146 44 3247 175 318 707
57,2688 1551 146 2327 153 3358 813 3501 1454 2609
58,2054 523 1551 146 928 3105 1831 3371 942 3382
59,779 1296 530 534 1436 1316 169 44 1583 175
60,2817 1543 1039 530 534 796 44 1583 175 945
61,3203 649 2314 16 1044 283 3238 680 169 2602
62,1937 1425 2840 3371 3382 3066 2245 853 1493 599
63,640 1044 3349 2968 3358 1956 680 2993 563 1337
64,1030 1935 146 3224 3369 2987 1581 2862 1583 2882
65,1545 650 1035 1044 411 673 680 2603 1067 1454
66,2314 1551 2968 2980 3238 1831 680 2603 1454 2993
67,2564 146 1304 1178 169 44 942 3269 1223 3272
68,1030 1937 146 1300 3349 160 36 3367 1583 52
69,2817 1543 1296 146 1811 2067 3349 1304 2328 1436
70,2054 1030 1548 146 922 928 1316 36 680 2603
71,138 1039 1296 790 534 1950 1315 36 44 1583
72,1296 1436 2980 44 945 1073 1205 3529 331 1615
73,2054 1030 12 1296 530 790 534 922 3105 44
74,2564 1030 779 1039 146 2847 1316 2086 942 1223
75,1039 1044 3358 159 36 2980 680 1067 1454 2993
76,1543 3597 1937 146 2836 1316 1831 2221 2350 204
77,1543 2314 3473 1044 3358 3234 2342 680 1067 2862
78,2688 1030 1928 1548 1551 146 928 1583 2224 1211
79,1030 1937 146 3349 1316 3371 304 1337 584 3529
80,779 1039 2960 1551 146 2603 3501 1454 1592 1337
81,1296 406 2460 1315 677 1830 3367 44 175 945
82,530 534 3365 44 3119 175 945 1073 183 2256
83,2688 1030 146 1304 922 1057 165 942 1205 3269
84,2817 519 1172 1044 163 293 680 1067 1454 1711
85,530 534 44 2862 175 945 1073 3013 69 3529
86,12 3213 530 534 1178 1057 1957 44 175 1968
87,0 2817 1408 517 3594 1933 1808 663 2587 1186
88,640 146 530 534 175 945 2370 463 3663 3409
89,0 3594 2574 146 2968 3227 1315 2350 1471 833
90,650 530 2068 43 44 175 945 1073 312 1337
91,1030 401 146 1300 1303 1946 922 928 3501 3382
92,640 1030 1039 1551 146 1303 3358 1960 3371 2732
93,640 1039 146 1304 1316 942 1583 1337 2630 201
94,1551 530 406 1560 409 166 2732 3501 2862 44
95,1030 1543 1937 1044 36 1316 2342 680 2603 2732
96,512 1408 3594 1933 1422 527 1058 1315 2354 183
97,640 2054 1030 530 1811 146 2980 1831 2350 584
98,131 140 153 32 2342 169 3119 3256 314 1082
99,1216 515 2757 2342 1510 680 1773 463 1617 2993
100,530 534 2327 1560 1057 44 2862 1583 175 945
101,2564 1928 1548 1551 1303 3358 928 1316 293 3501
102,129 131 7 778 140 153 32 1956 176 3253
103,519 1039 1172 148 3358 543 2210 163 1583 944
104,1668 524 2574 3349 43 3371 3119 3256 1470 1984
105,1030 146 405 1304 171 2862 942 183 312 1337
106,2564 1030 146 1560 3358 2602 3501 2862 457 3402
107,530 534 1315 44 2862 1583 175 945 1073 3269
108,530 534 44 175 945 1073 829 1855 2500 3013
109,1030 3600 146 1686 801 802 2980 810 1454 1583
110,2054 1039 530 534 2327 44 1583 175 945 1073
111,1030 146 3349 922 169 3371 1592 3013 3529 3402
112,2564 1030 1551 528 2960 146 1811 1560 2847 2862
113,1548 1422 1551 3358 928 2980 1831 3501 1454 1583
114,512 0 1159 2956 1039 3227 2470 1961 2350 177
115,1 2 4 6 9 14 18 25 2076 39
116,1548 146 1303 3358 928 549 3501 1454 1583 1460
117,640 146 3349 2328 1304 2210 942 3002 2366 2757
118,1668 530 534 1560 2858 44 175 945 1073 2256
119,132 2054 2570 1296 530 2070 534 1315 809 1451
120,1030 3335 146 1044 1304 942 3000 3262 1216 3656
121,146 1044 3349 3358 2993 1593 1216 1858 2500 584
122,1030 1543 2828 1548 146 1304 796 44 942 175
123,2500 2245 1638 3371 2603 2541 463 528 1937 2387
124,2054 1030 401 146 1811 3349 2968 2980 573 3269
125,2564 1039 2960 146 3358 1316 1831 942 1583 3013
126,2564 146 1831 3371 2862 1583 52 3022 3663 2256
127,640 1030 10 146 3349 2335 2980 312 3262 1858
128,2980 2468 3529 2636 1868 1454 2350 2768 2993 1551
129,1030 1543 1039 146 1303 152 2331 3358 2210 1315
130,640 1287 1551 1809 1303 3358 2980 1956 1831 3501
131,1543 530 534 1315 1316 44 175 945 1073 1337
132,1186 3298 517 421 966 873 2636 1645 3662 1808
133,3333 1546 2186 1039 1809 1044 3358 2342 680 1067
134,131 140 401 1811 2327 153 32 1968 314 322
135,1551 146 1316 3501 2606 2862 942 2745 190 3013
136,1551 1956 293 2297 1831 3371 3501 1583 52 1337
137,2564 1030 1039 146 790 802 2297 942 1583 1341
138,3205 1548 1551 146 1811 3476 790 1950 3358 928
139,1293 1296 530 1811 534 153 1436 1315 2732 175
140,512 3349 1560 2980 1454 1583 2993 52 3529 2768
141,1030 146 1304 1052 2342 942 201 3663 467 2005
142,2688 1543 136 1548 1039 1551 148 1303 3358 928
143,131 1545 140 153 32 810 312 314 322 323
144,2564 1030 2326 1316 680 2603 2350 2993 563 52
145,2967 411 3358 673 680 1067 1583 2993 563 311
146,132 1030 1551 3600 146 1560 2342 44 186 3663
147,2054 1543 1811 534 1560 1315 1316 293 44 175
148,2564 1543 3213 1296 530 534 36 169 44 175
149,640 136 779 1551 146 3358 928 1454 1711 2993
150,1039 3349 2968 1950 159 3358 2210 3238 2342 2603
151,138 1551 3349 1303 2968 3358 36 1960 3501 2862
152,2054 136 1551 146 2067 44 3501 2862 175 2224
153,904 148 1303 36 1583 2745 2877 2366 968 1868
154,2564 1030 2314 146 22 3358 799 2602 1454 2993
155,2054 1543 1030 146 1304 2603 2732 2862 942 1592
156,2688 1030 1551 146 2076 3358 3501 1454 3272 3656
157,1186 2342 1831 584 680 2732 1454 463 1583 1039
158,1783 530 1811 534 1950 2602 44 2862 1583 175
159,2314 1039 146 3349 3371 3628 2606 942 2745 2500
160,2190 146 2067 2210 2297 1831 2603 44 942 2500
161,2564 779 1551 146 3349 2968 3358 2210 36 3371
162,1543 779 1551 401 530 534 796 1315 36 44
163,2688 1543 1937 2328 922 2468 2350 1583 52 2237
164,1030 3473 146 1304 1560 1831 3371 2862 942 2617
165,131 140 153 32 314 3133 2110 1470 322 2256
166,512 1030 146 3349 1560 1831 2732 1454 1583 2757
167,132 1548 1551 1808 146 20 928 2745 189 457
168,1543 1928 1548 146 928 36 1583 3013 3022 3663
169,1548 1551 528 146 22 3358 928 1590 1223 3663
170,1548 1551 2968 928 1316 2603 2732 3501 1454 1067
171,640 3335 1551 528 1300 3349 3358 2980 44 1583
172,530 2068 534 3365 44 175 945 1073 2370 3013
173,1668 1030 146 802 3371 1456 3133 2370 3663 2643
174,3205 530 534 1316 1831 2732 44 2862 1583 175
175,772 2054 1030 3473 146 2327 1304 1316 942 3013
176,640 1039 146 1811 3358 2210 2732 942 1583 1211
177,1543 534 36 44 1583 175 945 1073 1205 2646
178,401 146 530 534 2603 942 175 3638 3013 201
179,2688 2784 2944 2116 2950 3432 3561 10 3409 3537
180,2176 1059 452 3331 1289 3594 330 622 3022 366
181,2564 1548 1551 1303 3482 3358 928 36 1318 3501
182,1543 779 1551 146 1045 2581 1303 36 2853 3131
183,1044 2331 3358 1831 680 1067 1454 944 2993 563
184,1536 1059 452 1464 2281 3338 169 3594 3532 1449
185,2564 1928 2314 523 10 1551 530 534 1315 36
186,779 1551 530 534 1186 2474 175 945 3638 3516
187,513 3 19 275 158 41 1583 178 1083 69
188,1548 1551 2067 3349 1303 2968 3358 36 2732 3501
189,2688 401 146 2328 1057 2210 44 1583 175 945
190,1536 2528 1729 1059 2596 1289 3594 1961 2636 1100
191,2688 2564 1030 146 1304 3105 942 1583 201 3022
192,1809 1937 2067 146 2328 2210 169 2603 2350 2993
193,1668 1287 2827 1420 2068 3358 1454 2614 183 1337
194,640 1287 1548 1420 1551 928 1831 3501 2862 1454
195,530 1811 534 44 2862 175 1840 945 1073 69
196,2564 1543 2956 1548 1039 1044 3349 790 2327 3358
197,1030 1543 1551 146 1303 1186 3013 457 1354 3663
198,2956 1044 1186 293 2603 1067 1711 2993 563 52
199,131 132 140 153 3101 32 1700 2476 314 322
200,2817 3216 530 534 1186 36 44 175 945 1073
201,640 1543 1548 1551 3358 928 2468 2602 3501 1454
202,1039 1551 1303 2968 3358 1831 1960 3501 1454 944
203,2564 1030 1039 146 1560 2205 2980 1573 2297 1583
204,778 1783 530 534 1560 1956 44 175 1456 945
205,640 1030 1039 146 3349 1831 3371 1583 1223 3529
206,0 646 649 2956 398 3349 1814 1053 1956 1583
207,530 1811 534 152 37 44 175 945 1073 183
208,148 796 31 1583 184 454 463 472 1753 2143
209,2068 3349 2326 2968 2350 1456 2993 3256 1337 1471
210,1408 131 140 1933 528 1813 153 32 3506 312
211,512 1030 1551 146 1303 3358 3501 3269 3142 2630
212,2054 1543 1030 1551 146 1316 3501 2862 3529 457
213,1030 1039 1044 3358 1568 36 2342 680 1067 1454
214,1551 146 1304 2732 942 52 1337 451 201 1868
215,0 1808 3349 1692 2335 2468 2980 1956 1961 2350
216,2817 1030 1548 1551 146 36 44 175 3269 3013
217,2314 2067 152 2468 2350 2993 563 1725 1471 2510
218,1548 1551 146 2967 3358 928 1316 36 3371 3501
219,512 2945 2950 395 523 1548 1551 928 2091 1715
220,640 2564 1039 146 1831 2857 3501 1211 2630 457
221,1678 534 2980 37 166 3496 1193 3116 44 175
222,1548 1551 146 1811 3349 1303 2331 1316 553 2606
223,398 1044 535 159 1956 293 2342 680 1067 2993
224,512 3349 1315 2980 427 3371 2350 52 1337 3133
225,1030 146 36 942 2745 201 3022 463 3663 3409
226,1030 1551 146 2327 2076 1960 3501 1454 3125 3656
227,640 1030 1044 159 293 3238 680 1067 1454 2993
228,2784 2626 2980 2757 2342 1831 1640 169 680 1067
229,779 1039 1296 534 1436 421 44 175 2352 945
230,1410 1928 1401 1551 2960 2297 936 3371 184 573
231,2570 530 406 534 1436 1057 2466 1315 2474 175
232,2688 2947 1548 1039 146 3358 928 36 944 3022
233,1030 146 3349 1186 1858 2248 3663 3409 2387 2903
234,640 131 2564 140 22 1560 153 32 1316 36
235,1030 528 146 1044 3349 1304 160 942 3000 1858
236,146 2067 1304 1316 169 942 1711 52 2745 3390
237,1287 1548 1551 3358 928 3501 1454 188 2370 3013
238,3463 146 3349 1568 672 1960 2603 944 2993 2768
239,768 1177 35 3529 553 428 2736 913 1681 2354
240,2784 2817 3332 2757 680 3529 1640 1067 3694 1454
241,2564 138 779 146 534 1946 28 36 44 942
242,2564 772 1551 146 1811 3349 1304 942 1454 3262
243,2564 530 534 2327 44 175 945 1073 829 3390
244,128 2847 802 3238 1831 296 686 566 313 3005
245,640 530 1811 534 409 1316 44 175 945 1073
246,1287 1548 1303 3358 928 36 1831 3501 2862 1454
247,640 2314 3473 1044 3349 2331 3358 2342 680 1067
248,519 1172 1303 3358 1568 163 2603 1454 944 2993
249,0 534 663 3609 537 1437 1184 421 44 1069
250,1030 3335 1551 785 530 146 1304 2458 3371 942
251,1030 1545 2185 1549 146 3349 802 2980 2862 1337
252,519 1039 3349 163 1454 944 2993 2745 2366 2630
253,1668 1030 1543 146 1304 1560 1316 2862 942 1223
254,3335 1044 3349 3358 1454 1583 2993 52 1848 1216
255,512 1408 0 1933 22 1690 1059 1961 2602 1449
256,2688 132 1030 146 2210 942 1079 829 3013 3272
257,1045 3349 2581 2968 2980 2853 1831 2603 2993 184
258,1543 1551 146 2968 3358 1186 2603 1454 1583 2993
259,1030 1543 146 1831 2862 2611 1079 829 3529 463
260,1811 406 534 1304 2465 1057 3367 3116 44 175
261,640 527 1811 1560 1439 44 1583 2224 175 945
262,1551 3473 146 3358 942 3125 3131 2500 201 457
263,3086 1811 534 152 1178 1436 931 37 44 175
264,2308 1678 1296 530 1811 1184 37 166 3116 175
265,2314 1551 146 1811 1303 928 1315 3501 1454 1592
266,1670 1287 1420 1037 1303 3358 802 3363 1573 3501
267,8 13 2323 1428 20 790 922 27 30 33
268,2308 1030 650 1551 146 1560 1057 1831 3501 2862
269,1030 779 146 3613 3358 1315 3371 944 3663 3153
270,2564 1543 146 530 534 44 201 3402 3663 3153
271,640 1248 3161 1956 2342 584 680 1640 1067 3005
272,131 140 32 1186 1279 2862 314 320 322 323
273,1030 1039 146 1045 2581 36 2853 2470 1583 1223
274,1548 1039 1551 271 1303 1560 3358 928 2210 1831
275,1030 1543 1551 146 3501 3013 584 3529 457 463
276,1546 16 3473 2067 3349 2968 680 2603 1067 1454
277,528 1300 3349 1044 3367 680 1067 1583 2993 563
278,1920 1681 3349 2968 159 928 2979 293 3371 1454
279,2564 1543 2194 146 3349 3358 543 1454 52 2250
280,515 1546 16 3473 1044 283 2468 2342 1831 680
281,640 3172 2757 1510 2342 680 198 2314 1067 2993
282,1030 1039 146 1177 36 2603 3245 2606 1583 2354
283,131 140 1296 153 32 931 1073 314 322 323
284,1030 1551 1044 2968 928 2297 3371 2862 1583 1454
285,640 2314 1166 1044 2840 3358 3107 2342 680 3371
286,640 524 1039 1551 146 2968 3107 1831 52 3382
287,1811 915 2968 2342 680 2603 2350 2993 563 1471
288,650 1548 1044 928 1956 2342 1831 680 1067 1454
289,2688 1030 655 784 146 3349 2980 2222 1471 69
290,2564 1030 1039 146 530 534 1304 1960 2862 942
291,1030 1543 779 146 1045 1303 36 3125 3269 3663
292,1030 1037 146 1304 942 312 3656 201 1615 463
293,1030 146 1811 3358 169 942 2862 1592 201 971
294,1937 146 1811 2199 1560 2980 2732 1223 3405 3022
295,1039 1937 3349 2326 2968 543 2980 2350 52 3382
296,3335 528 3349 2326 160 1830 2603 1215 1858 472
297,640 515 2314 1546 397 3349 2210 680 169 1067
298,640 1044 3349 2968 3358 2470 1831 680 2342 2603
299,1543 2314 146 1304 1560 169 942 707 3272 201
300,132 3473 530 3350 534 1436 2076 2470 1960 169
301,2564 1543 1039 1551 1044 1560 2338 2980 36 680
302,2054 779 530 534 160 1315 2474 44 175 945
303,1422 146 3349 1304 1052 3231 1315 2980 2342 942
304,1 2 4 6 1543 9 14 18 25 36
305,131 140 401 1811 1428 153 32 1315 1463 314
306,1548 1551 3358 35 36 2857 3501 2606 1583 1454
307,2564 1543 1800 1551 146 2327 922 44 942 175
308,3349 1186 2210 36 2297 2862 2993 52 1211 3529
309,2688 1543 3473 2067 1044 2326 2968 3358 1956 680
310,1543 530 534 1315 166 169 44 2862 175 945
311,2980 1831 680 3049 2603 1067 879 16 2485 501
312,512 1030 146 3349 293 3371 1337 2636 3663 2256
313,2688 640 1044 3349 2331 3358 2980 1956 680 169
314,1296 1814 152 1315 2980 37 44 175 2224 945
315,131 140 2960 1304 153 32 3116 561 314 1341
316,131 1030 140 790 153 32 1315 314 2370 322
317,640 0 650 1809 2194 3349 2968 1692 2980 2468
318,2688 132 1543 1287 2827 1420 1303 1186 1316 2862
319,3463 1044 3358 159 293 3238 2342 680 1067 563
320,1296 3105 2980 44 1583 175 945 1073 1205 3131
321,1548 1551 1809 1303 928 2338 2980 3501 1454 1583
322,771 1548 1551 1303 2847 928 1315 3238 680 2602
323,1928 1551 146 1178 2076 928 1057 3501 2862 942
324,3597 3600 1296 406 2980 1193 44 175 945 1073
325,652 530 2070 406 534 796 1315 44 175 945
326,2067 1044 1913 2331 3358 2342 680 169 1067 2732
327,772 1030 2956 146 1304 942 1083 2370 3269 201
328,2956 3215 530 534 1057 36 1831 169 44 2862
329,1030 146 2327 1315 3371 2732 452 3663 2646 2903
330,3107 1190 1736 105 2280 2521 1197 1937 3155 2292
331,2054 1296 3474 534 1316 44 175 1840 945 1205
332,2626 3332 2500 1831 584 680 331 3435 2993 1044
333,772 146 3358 1315 36 2603 2732 3371 2862 942
334,1030 2185 2574 146 802 1573 810 3371 52 452
335,2054 1543 530 534 44 175 945 1073 1337 3013
336,2945 1039 1168 913 1681 35 2606 2736 2480 3529
337,1030 146 20 2967 3371 176 52 2745 2768 2512
338,652 1293 530 406 534 2457 1057 44 175 945
339,3456 131 132 140 1296 153 32 3105 314 322
340,2054 2314 1937 2326 3358 799 2468 2297 2342 3371
341,640 1039 146 3349 3238 1831 2862 1583 52 3002
342,3456 131 2564 2828 1045 2581 1304 32 1186 36
343,2054 1543 530 1811 534 2732 44 175 945 1073
344,2314 146 1811 3349 534 2327 2210 1960 3371 44
345,640 1303 2968 3358 36 1831 680 3501 2993 563
346,0 1692 2780 1956 2019 1127 649 3022 1711 915
347,1551 3349 1067 3501 1454 2993 52 1337 1861 208
348,2564 138 1296 530 3350 1057 44 2862 175 945
349,640 1030 146 1304 36 942 3656 3272 201 3663
350,138 1809 1937 2326 3358 2847 2980 2342 680 1067
351,1504 2176 2401 3366 487 617 3594 3340 1645 974
352,0 530 790 534 931 423 169 44 1711 1583
353,1551 1044 1560 3358 1316 2342 1831 680 1067 2993
354,640 1303 3358 928 36 680 2603 3501 1454 1583
355,2956 1296 790 534 1057 44 175 945 1205 1720
356,1030 138 1548 146 1560 409 2847 928 2297 944
357,96 1956 2342 1831 680 1640 2314 1067 3022 1007
358,1155 2828 2068 2327 666 28 1316 1189 1583 691
359,523 534 1436 1316 1831 44 1583 1968 175 945
360,640 1801 530 534 2980 933 3371 44 175 945
361,1030 1937 3349 2327 2297 1831 169 2603 1583 52
362,3463 398 1054 2338 2980 293 2603 563 1215 1223
363,772 146 3349 922 3234 1711 3262 2630 584 2250
364,1 2 4 6 9 138 14 18 406 25
365,2564 530 534 36 44 2862 945 1073 1205 1354
366,1186 1315 2980 899 2470 584 3405 2350 1711 1039
367,2564 1543 1039 1296 530 534 1178 1057 44 175
368,2688 640 1546 1044 3349 1831 680 2602 1067 2993
369,2564 1551 146 3349 1560 1315 3501 942 1211 1223
370,2054 3215 530 1811 534 1436 1316 44 175 945
371,1551 1303 2968 3358 928 1186 169 2732 3501 1454
372,513 1924 6 530 1045 790 534 44 175 945
373,640 1551 146 1044 3358 1568 928 2210 1831 3501
374,1809 3349 3358 2338 2342 680 1067 2993 563 2757
375,1030 146 1560 2732 3382 2500 3013 201 3022 3663
376,640 3327 1956 2757 2630 2980 3529 2603 1454 1615
377,1030 1044 3358 36 680 1067 1454 3248 2993 563
378,398 1039 1044 2338 2980 2342 1067 2993 563 1211
379,1030 1543 1039 146 1304 1316 36 942 201 3022
380,640 1030 1543 146 1304 1831 2862 1583 942 584
381,1410 132 3597 2960 401 1057 1315 36 2297 3371
382,2054 530 1811 534 1186 1316 175 945 1073 1205
383,646 3338 2956 1296 3350 534 3227 44 945 1073
384,530 790 534 28 44 175 945 1073 1859 3402
385,2688 2956 1937 3349 2199 2210 2980 2603 2350 52
386,1543 1783 3212 530 534 1186 1316 44 2862 175
387,1287 1420 1037 3600 1303 3101 3358 2338 1318 3501
388,129 1928 2828 1186 36 176 434 312 62 320
389,640 1548 785 3602 2847 928 2980 165 1835 3371
390,512 2946 136 1546 1172 293 2342 1711 1583 52
391,3215 1044 3358 2980 2468 680 1067 2993 563 584
392,1030 524 271 1937 146 1300 3349 3000 1868 3670
393,2564 1039 1551 401 530 534 279 44 1583 175
394,772 1783 530 534 2086 1831 44 175 945 1073
395,530 534 2457 1057 166 3367 3116 44 175 945
396,640 1030 1937 1811 3349 2328 2331 2210 2350 1583
397,2626 2980 2757 2630 2342 1956 680 1510 1067 3022
398,640 2968 3358 799 2342 1831 680 1067 1454 2993
399,1670 1030 146 169 43 186 3133 2376 3529 201
400,132 1030 16 146 1304 942 2863 2745 188 189
401,2564 1030 1039 146 2972 2462 1439 2988 945 2116
402,1296 534 169 44 945 1073 1205 2237 3269 1099
403,1030 1039 16 1044 283 36 2342 1831 2603 1067
404,640 1039 146 3349 1560 1304 1186 1316 3371 942
405,2054 1030 146 1315 2350 1341 2237 2365 1615 3663
406,1809 1939 2331 159 2210 2979 2980 293 2342 1454
407,2564 2054 530 534 1831 44 175 305 945 1073
408,640 2817 146 3349 1186 36 2603 52 331 2768
409,2953 1039 1551 146 2067 2210 2470 3501 2366 1223
410,774 3349 2326 2968 3358 1186 2342 3371 1454 1711
411,3456 2688 772 1030 146 1303 3358 1186 36 2603
412,652 534 2208 1315 1830 44 175 945 1073 1205
413,512 1030 1543 146 3358 36 2980 2732 1583 2993
414,3332 3473 1044 3358 799 2342 680 2603 1067 2993
415,3456 1030 1928 1548 1039 1551 146 928 1315 169
416,774 2314 398 2067 1044 3349 3358 2342 680 1067
417,1551 3600 530 3350 534 3367 44 3501 175 52
418,3597 1296 1436 1316 677 1831 44 2862 175 945
419,1670 146 1304 1560 1315 942 1337 1086 3013 2376
420,132 1928 10 1551 1303 2968 28 3358 1583 457
421,2626 2338 3046 198 584 1640 1067 3022 206 2129
422,2564 1551 146 1304 1316 3501 942 1583 2366 451
423,1536 0 3594 3340 278 2968 2335 2592 1961 1070
424,512 1413 395 1548 1551 3349 3358 928 3371 43
425,640 2210 2626 2500 2501 2630 774 3022 1583 146
426,2054 146 1304 37 3125 707 201 1354 2387 2903
427,1030 1543 146 1304 36 942 1583 3013 3529 201
428,2314 146 3349 2840 169 44 2862 175 201 3663
429,129 2564 267 1315 36 2862 176 434 312 1337
430,1551 146 1811 3227 1831 2732 1070 1454 1337 966
431,1792 640 2564 2827 1420 3358 3238 3501 1454 2614
432,640 644 138 1803 1548 528 1560 2076 1950 928
433,0 3594 1437 421 169 1069 1583 1586 183 3000
434,2947 1030 1543 1548 146 1560 2076 928 1316 1453
435,1551 146 1304 3358 799 1960 3371 1454 3142 1223
436,1030 1039 146 2862 942 2500 3529 201 3663 2646
437,2688 0 3594 1811 3349 2968 3227 2210 2603 2350
438,524 1548 271 1551 3349 3358 36 3371 1583 3653
439,2054 1030 146 3371 3501 1454 1337 1223 457 463
440,640 2980 3046 1510 584 457 331 398 1583 1454
441,1030 3216 146 28 928 3501 2862 1583 3125 1475
442,1543 1551 2068 1303 1560 3358 2342 3371 3501 1454
443,1030 2570 146 790 1057 2732 44 942 1858 1223
444,1543 1551 1809 146 2709 3349 1303 1186 1454 944
445,3463 146 3349 2328 2331 1831 1960 942 3002 584
446,640 1030 1548 146 1304 1831 2603 942 1583 1211
447,640 96 2338 2275 1956 159 3046 1831 1640 2342
448,530 1045 2327 1057 2470 3116 44 1711 175 945
449,382 1030 146 3231 1315 3371 44 3256 3133 3663
450,1030 2314 1039 146 1811 1956 1316 2980 1583 52
451,1655 3597 527 3474 530 1814 44 175 945 1073
452,3205 1030 650 146 1304 802 942 183 3256 573
453,256 132 261 266 145 530 21 1315 168 1341
454,2564 1030 146 3349 1560 1316 52 2370 584 3402
455,2054 1543 1030 146 1304 1057 2210 1316 2732 942
456,132 1030 1543 138 146 1304 1560 44 2606 175
457,512 1668 530 534 1560 44 175 945 1073 2110
458,1668 1030 528 146 1304 942 1337 201 2256 2774
459,2688 132 1548 1039 1551 146 2835 1303 3358 928
460,904 1039 148 1303 36 3501 2862 1583 3269 1223
461,1030 146 1811 1303 2076 1950 3365 2606 942 201
462,2054 2828 2581 1439 3105 37 2470 44 2862 175
463,530 1811 3476 534 169 44 175 945 1073 1205
464,1422 530 534 1560 1315 2342 44 175 945 1073
465,1543 1287 1546 1548 1551 1303 928 2210 3501 1454
466,640 2564 530 534 2732 44 175 945 1073 1223
467,3600 1044 3349 1686 2342 680 1067 174 1583 563
468,1408 1933 1422 146 1304 2342 1319 169 942 1583
469,1044 3349 1303 2968 1304 2331 3358 36 2342 680
470,1039 1551 1044 3358 1956 1831 680 169 1067 3501
471,1287 1545 1551 1303 3358 802 810 3501 1454 1583
472,131 2956 140 790 32 1057 1963 314 1083 322
473,2564 1548 1551 3349 1560 3358 1824 928 3501 1454
474,1030 2054 1039 146 790 293 52 1211 3656 3529
475,1030 1548 528 146 928 1956 36 1573 1700 174
476,640 1668 1551 1303 1560 3358 2210 1315 2342 44
477,2688 132 1030 146 530 796 44 2862 175 3013
478,1039 1551 146 2067 1303 1560 1177 928 2210 36
479,7 530 534 1560 44 175 2353 945 1073 188
480,512 394 3473 1428 1044 1186 2470 680 3371 1067
481,146 790 1304 1178 922 44 942 3382 2112 201
482,640 2048 1420 1551 2194 1303 3358 3501 2614 2488
483,2564 1928 1548 1551 3358 928 3501 2862 2363 2370
484,3205 2186 146 1560 1316 2297 1831 2350 52 188
485,2564 1030 136 523 1548 146 942 829 707 201
486,640 2688 1551 3349 3358 160 928 3371 3501 1454
487,1030 1033 1548 1039 1551 146 1811 928 2338 36
488,640 1287 2827 1420 3600 1303 3358 2614 702 1348
489,3332 1546 3473 1044 3349 2331 2342 680 1067 2993
490,1937 2326 2968 1560 1315 3371 2732 2350 1583 2354
